title	genre	imdb_rating	summary	plot
Аваэте — семя мести	драма	6.5	"«Аваэте — семя мести» (порт. Avaeté — Semente da Vingança) — бразильский художественный фильм, снятый в 1985 году (режиссёр Зелиту Виана).
В фильме отражены события истребления индейцев племени синташ-ларгаш, произошедшие в регионе Фонтаниллас, ныне муниципалитет Жуина, на северо-западе Мату-Гросу в 1963 г. В съёмках участвовали индейцы племени рикбатса."	Ребёнок-индеец, выживший после ужасной бойни, попадает под покровительство белого повара, раскаивающегося в своём участии в преступной экспедиции. Уже взрослым, убив своего покровителя, он начинает в одиночку мстить белым убийцам.
Добыча ветра	авангард  драма	6.7	«Добыча ветра» (фр. La proie du vent) — французский чёрно-белый немой фильм Рене Клера 1927 года. Дата выхода во Франции — 13 мая 1927 года.	Сценарий фильма был написан на основе приключенческого романа Арманда Мерсье «Экстраординарное приключение Пьера Виньяля».Во время шторма пилот приземляется на территории замка, чтобы похитить молодую женщину.
Легион (фильм)	ужасы триллер боевик фэнтези	5.3	«Легион» (англ. Legion) — фильм 2010 года. Рейтинг MPAA — R.	Архангел Михаил (Беттани) падает на Землю в Лос-Анджелесе, отрезает свои крылья и проникает в полицейский арсенал за автоматическим оружием. Двое полицейских замечают его и намереваются остановить, но один из них становится одержимым и убивает другого. Михаил убивает одержимого полицейского и забирает его машину. Дальнейшее действие происходит в небольшой придорожной закусочной с гаражом Paradise Fall в центре пустыни Нью-Мексико. Там почти всегда находятся сам владелец закусочной, Боб Хансон (Деннис Куэйд), его сын Джип Хансон, разнорабочий Перси Уокер и официантка Чарли.
Алиса в Стране чудес (мультфильм, 1951)	мюзикл фэнтезийная комедия	7.3	"«Али́са в Стране́ чуде́с» (англ. Alice in Wonderland) — американский анимационный музыкальный фэнтезийный комедийный фильм 1951 года, снятый студией Walt Disney Productions и основанный на книгах Льюиса Кэрролла об Алисе. Это тринадцатый полнометражный мультфильм Disney. Премьера фильма состоялась в Лондоне 26 июля 1951 года и в Нью-Йорке 28 июля 1951 года. В нём представлены голоса Кэтрин Бомонт в роли Алисы, Стерлинга Холлоуэйя в роли Чеширского кота, Верны Фелтон в роли Королевы Червей и Эда Уинна в роли Болванщика. Уолт Дисней впервые попытался адаптировать Алису в полнометражный анимационный фильм в 1930-х годах и возродил эту идею в 1940-х годах. Первоначально фильм задумывался как анимационно-игровой фильм, но Дисней решил, что это будет полностью анимационный фильм.
Мультфильм считался разочарованием в своем первоначальном прокате, поэтому был показан по телевидению как один из первых эпизодов Диснейленда. Его переиздание 1974 года в кинотеатрах оказалось гораздо более успешным, что привело к последующим переизданиям, мерчандайзингу и выпуску домашнего видео. Хотя фильм получил в целом негативные отзывы критиков при первоначальном показе, на протяжении многих лет он был более положительно оценён.
Премьера мультсериала-перезапуска «Пекарня Алисы в Стране чудес» состоялась 9 февраля 2022 года."	Девочка Алиса во сне видит Белого Кролика с часами. Чтобы узнать, куда опаздывает кролик, главная героиня спешит следом и проваливается в кроличью нору. Таким чудным образом она попадает в Страну чудес, где происходят самые невероятные вещи.
Мать (фильм, 1952)	фильмдрама	7.6	«Мать» (яп. おかあさん: окасан; англ. Mother) — японский чёрно-белый фильм-драма, поставленный режиссёром Микио Нарусэ в 1952 году. В главной роли популярная звезда японского кинематографа XX века Кинуё Танака. Именно с этой работы начался новый взлёт в режиссёрской карьере 47-летнего Нарусэ.	Кинолента начинается с закадрового голоса молодой девушки по имени Тосико, которая рассказывает о своей семье Фукухара, представляя каждого её члена. У семьи когда-то  была своя прачечная, сгоревшая во время бомбёжек Второй мировой войны, но всё семейство усердно работает, желая открыть новое заведение по стирке и чистке одежды. Старший сын Сусуму, работавший в магазине бархатных тканей, заболевает и вскоре умирает. Через некоторое время заболевает и глава семейства. Он ненадолго переживёт своего сына.
Tot Watchers	семейная комедия	6.7	«Tot Watchers» (рус. Няньки-сиделки; Образцовые няньки; Ангелы-хранители; Защитники младенца; Няньки поневоле) — американский мультфильм 1958 года, последняя из 114 «классических короткометражек» о приключениях Тома и Джерри. Последний мультфильм о Томе и Джерри, над которым работали его создатели: Уильям Ханна, Джозеф Барбера и Скотт Брэдли (не считая телевизионных сериалов «Шоу Тома и Джерри» и «Том и Джерри. Детские годы»). Премьерный показ состоялся 1 августа 1958 года, спустя год после того, как мультфильм был полностью готов. Мультфильм снят в формате CinemaScope. В «Busy Buddies» и «Tot Watchers» Том и Джерри дружат и вместе следят за непослушным малышом.	Юная няня Джинни должна два часа следить за малышом, пока его мама уехала по делам. Однако девушка не уделяет никакого внимания ребёнку, и без конца болтает по телефону. Тем временем Том и Джерри заняты своими обычными делами: мышонок убегает, а кот его преследует. Однако им приходится отрываться от этого занятия: малыш всё время пытается вылезти из своей коляски и уползти прочь, и его приходится возвращать на место. В итоге ребёнок всё-таки сбегает из дома и оказывается на стройке, где ему каждую минуту грозит смертельная опасность.
Сабрина в Риме	комедия фэнтези	5.3	"Сабрина в Риме — американский телевизионный фильм, созданный по заказу АВС. Позиционируется как часть сериала Сабрина — маленькая ведьма, это первый фильм снятый по данному сериалу. В фильме присутствуют только два главных героя сериала: Сабрина Спеллман (Мелисса Джоан Харт) и Сэйлем Сэйберхэген (озвучен Ником Бэкеем).
Режиссёр фильма Тибор Такач также являлся режиссёром фильма Сабрина — маленькая ведьма, на котором основан сериал. После успеха «Сабрины в Риме» ABC снял сиквел «Сабрина под водой».
Фильм был включен в DVD 7 сезона сериала Сабрина — маленькая ведьма."	Если Сабрина не откроет таинственный древний медальон с заключенной в нём силой, её тетя София будет потеряна навсегда. Отец Сабрины рассказывает ей о том, что разгадка скрыта в Риме. Сабрина вместе с Сэйлемом направляется в Рим, где встречает привлекательного фотографа Пола. Её селят в одну комнату с соседкой, которая оказывается британской ведьмой Гвен. Сабрина и Гвен пытаются разгадать секрет медальона.
Эль Сид (фильм)	драма	7.2	«Эль Сид» (англ. El Cid) — кинофильм режиссёра Энтони Манна, вышедший на экраны в 1961 году. Прототип главного персонажа — реальный Родриго Диас де Вивар (1045—1099), участник Реконкисты, национальный герой Испании.	Эмир Бен Юссуф созывает эмиров мусульманской Испании и упрекает их в нежелании воевать с христианами, что противоречит по его мнению идеям ислама; Юсуф мечтает о покорении Испании, христианской Европы и мира. Эмиры начинают военные действия против христиан Испании, в результате один из отрядов был разбит кастильскими воинами под командованием дворянина Родриго Диаса де Вивара, в результате двое из эмиров Мутамир (эмир Сарагосы) и Аль Кадир (эмир Валенсии) попадают в плен. Родриго, несмотря на уговоры их казнить, отпускает их и Мутамир клянётся ему в вечной дружбе и даёт прозвище «Эль-Сид» (милосердный и справедливый). Из-за милосердия к побеждённым врагам, граф Ордоньес называет его изменником перед королём Фердинандом I и его тремя детьми. Обвинение в измене поддерживает граф Гормаз, отец невесты Родриго Химены Диас.
Призрак кота	фильм ужасов триллер	6.3	«Тень кошки» (англ. The Shadow of the Cat) — британский фильм ужасов 1961 года.	Зажиточная Элла Вейнабл (Кэтрин Лэйси) убита своим скупым мужем (Андре Морелл) и двумя домработницами. Единственный свидетель — кот Эллы, чьё странное поведение привлекло внимание кузины Беты (Барбара Шелли), которая внезапно приходит домой. Троица убийц решает уничтожить кота, но тот оказывается хитрее их: одного из них он загоняет в болото, где преступник тонет; Клару (Фреда Джексон) кот так пугает, что она ломает себе шею. Уолтера Вейнабла, мужа убитой супруги, охватил такой страх, что он заболел и слёг в постель. Кот садится ему на грудь, и Уолтер умирает от сердечного приступа.
Белокурая Венера	драма	7.1	«Белокурая Венера» (англ. Blonde Venus) — драматический художественный фильм голливудского режиссёра Джозефа фон Штернберга, поставленный в 1932 году. Главные роли исполнили Марлен Дитрих, Герберт Маршалл и Кэри Грант.	Американский химик Нед Фарадэй (Герберт Маршалл) и его жена, певица варьете Хэлен Фарадэй (Марлен Дитрих), живут вместе уже много лет. У них есть маленький сын Джонни (Дики Мур). Однажды во время экспериментов Нед облучается радием и теперь главной задачей для семьи становится сбор денег на его лечение. Хэлен вынуждена устроиться на работу в одно из ночных кабаре города. Во время одного из своих выступлений она знакомится с Ником Таунсендом (Кэри Грант) — довольно обеспеченным человеком.
Миссия невыполнима: Смертельная расплата, часть 1	шпионский боевик	8.0	"«Миссия невыполнима: Смертельная расплата. Часть первая» (англ. Mission: Impossible – Dead Reckoning Part One) — американский шпионский боевик, режиссёром и сценаристом которого выступает Кристофер Маккуорри. Главную роль в картине исполняет Том Круз. Это седьмой фильм из франшизы «Миссия невыполнима» и третий фильм из этой серии, который будет снят Маккуорри (после «Племени изгоев» и «Последствий»). К своим ролям вернутся Винг Рэймс, Генри Черни, Саймон Пегг, Ребекка Фергюсон, Ванесса Кирби, Анджела Бассетт и Фредерик Шмидт; к актёрскому составу также присоединятся Хейли Этвелл, Пом Клементьефф, Шей Уигем, Эсай Моралес, Роб Делани, Чарльз Парнелл, Индира Варма, Марк Гэтисс и Кэри Элвес.
Фильм выпущен в прокат США 12 июля 2023 года компанией Paramount Pictures. Премьера сиквела картины, сценаристом и режиссёром которого также является Маккуорри, запланирована на 28 июня 2024 года.
Действие фильма будет происходить после событий, рассказанных в фильме «Миссия невыполнима: Последствия»."	Итан Хант и его команда противостоят системе искусственного интеллекта Entity, которая вышла из под контроля и стала угрозой человечества.
Премьера (фильм)	драма	7.9	«Премьера» (англ. Opening Night) — американский драматический фильм режиссёра Джона Кассаветиса, снятый в 1977 году по его собственному сценарию. Главной темой фильма является кризис среднего возраста, начатая ещё в предыдущем его фильме «Мужья». Главные роли исполнили Джина Роулендс, Джон Кассаветис и Бен Газзара. Актёрская игра Джины Роулендс была отмечена несколькими наградами и номинациями. Мировая премьера фильма состоялась 22 декабря 1977 года. В России на DVD вышел 25 июня 2009 года, распространялся компанией «Настроение Video».	Бродвейская актриса Миртл Гордон жила обычной размеренной жизнью. Однако, невольно став свидетельницей гибели своей юной поклонницы, привычный ей ход вещей резко меняется: она впадает в депрессию. Её психологическое состояние мешает репетициям, что ставит под угрозу и саму премьеру.
Домашняя игра (фильм)	комедия спорт	6.0	«Домашняя игра» (англ. Home Team) — американская спортивная комедия основано на реальных событиях. Фильм вышел на Netflix 28 января 2022 года.	Главный тренер отвечает в команде за всё! Именно поэтому, когда футбольный клуб «Нью-Орлеан Сэйнтс» оказывается в центре скандала, козлом отпущения выставляют тренера. В результате Шон Пэйтон, профессионал высочайшего класса, победитель Супербоула-2009, на целый год оказывается отстранён Лигой от игры. Ему нельзя приближаться к стадиону, не только его игрокам, но и сотрудникам клуба запрещено даже разговаривать с ним. Шон уезжает в родной городок на севере Техаса.
Топ Ган: Мэверик	драматический боевик	8.3	"«Топ Ган: Мэверик» (англ. Top Gun: Maverick) — американский драматический боевик Джозефа Косински с Томом Крузом в главной роли, являющийся продолжением фильма 1986 года «Лучший стрелок».
Мировая премьера фильма состоялась 28 апреля 2022 года в Лас-Вегасе на выставке CinemaCon, международная премьера состоялась 18 мая на 75-м Каннском кинофестивале в рамках внеконкурсной программы, а в мировой прокат фильм вышел 27 мая 2022 года.
Самый кассовый фильм в карьере Тома Круза и 2-й самый кассовый фильм 2022 года, уступивший картине «Аватар: Путь воды». Также картина заняла 12-е место в списке самых кассовых фильмов за всю историю кинематографа. Фильм получил высокие оценки критиков, а ряд изданий даже включили его в списки лучших фильмов года. Кроме того, фильм получил 6 номинаций на 95-ой церемонии вручения премии «Оскар», включая категорию лучший фильм.
Повторный показ фильма анонсирован со 2 по 15 декабря в США и Канаде."	"Действие фильма происходит через 36 лет после событий в первом фильме. Легендарный Питер Митчелл вынужден работать новым лётным инструктором Top Gun, где также обучается Брэдли «Задира» Брэдшоу (в оригинальной озвучке -""Рустер""), сын Ника «Гуся» Брэдшоу, который стремится стать лётчиком, как его отец. Спустя 30 лет после окончания TOPGUN капитан ВМС США Пит «Мэверик» Митчелл работает лётчиком-испытателем. Хотя он получил множество наград, неоднократное неподчинение не позволило ему получить звание флагмана. Его друг и бывший соперник по TOPGUN адмирал Том «Айсмен» Казански, командующий Тихоокеанским флотом ВМС США, часто защищает Мэверика от наказания."
Однажды в Голливуде (фильм, 2008)	сатира комедия драма	5.6	«Однажды в Голливуде» (англ. What Just Happened, США, 2008 год) — фильм режиссёра Барри Левинсона, созданный в смешении жанров комедии, драмы и сатиры.	Рассказ о нескольких днях из жизни влиятельного голливудского продюсера Бена (Де Ниро), который вынужден улаживать сотни дел одновременно. Его новый фильм «Свирепый» через две недели открывает Каннский кинофестиваль, но режиссёр Джереми Брунелл (Уинкотт) не отредактировал ещё несколько эпизодов. Нет согласия по финальной сцене, в которой главный герой — Шон Пенн (Шон Пенн) погибает вместе со своей собакой, а зритель не любит жестокости… по отношению к животным. Приглашённая звезда Брюс Уиллис (Брюс Уиллис), который по сюжету должен быть гладко выбрит, приезжает на съёмочную площадку и демонстрирует всем свою окладистую бороду и полное нежелание её сбривать. К этому добавляются семейные неурядицы: бывшая жена Бена заводит любовника — сценариста Скотта Соломона (Туччи).
Алёнка (фильм)	комедия	7.2	«Алёнка» — советский художественный фильм режиссёра Бориса Барнета, снятый в 1961 году на киностудии «Мосфильм» по мотивам одноимённой повести Сергея Антонова.	Лирическая комедия «Алёнка» — это истории людей, которые в середине 1950-х годов приехали в степи Казахстана на освоение целинных земель. Во время уборочной кампании девятилетняя Алёнка уезжает от родителей в районный центр за 500 километров, чтобы продолжить обучение в школе, которой ещё нет в новом целинном совхозе. Её попутчики во время долгой дороги рассказывают о своей жизни и любви. Фильм состоит из нескольких новелл: каждую из историй, рассказанных героями в пути, режиссёр представляет кинозрителям через восприятие Алёнки, глазами ребёнка. После окончания медицинского института на целину из Риги приезжает молодой специалист — стоматолог Эльза Калнынь (Анда Зайце).
Бродяга (фильм, 1951)	процессуальная драмаd и драматический фильм	7.8	"«Бродя́га» (хинди आवारा, Awaara) — индийский фильм-драма на языке хинди, снятый в 1951 году Раджем Капуром, также исполнившим главную роль. Картина сочетает социальные и реформистские темы с жанрами криминального фильма, романтической комедии и музыкальной мелодрамы. Сюжет вращается вокруг переплетения жизней бедного вора, обеспеченной девушки-адвоката и её опекуна-судьи, который не знает, что вор — его сын.
Один из наиболее известных фильмов в творчестве Раджа Капура. В этом фильме он впервые предстал в образе бродяги, впоследствии развитом в его картине «Господин 420» (1955) и ставшем его наиболее известной экранной маской.
Фильм пользовался огромной популярностью на родине, а также в Советском Союзе, Восточной Азии, Африке, на Ближнем Востоке и в Восточной Европе."	Радж родился и живёт в трущобах, промышляя воровством. Его отец, богатый окружной судья Рагунат, много лет назад выгнал из дома беременную жену, заподозрив её в бесчестии. В начальной школе Радж подружился с Ритой, девочкой из состоятельной семьи. Судья Рагунат, опекун Риты, позаботился о том, чтобы неблагонадёжный Радж не виделся с Ритой, и увёз её в другой город. На улице Радж знакомится с бандитом Джаггой, который заменяет ему отца и обучает воровскому ремеслу.
